[ERR] 2018-03-30 06:48:16 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:48:20 | Forged new block id: 2828161906724095442 height: 2509 round: 25 slot: 5828330 reward:100000000
[ERR] 2018-03-30 06:48:21 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:48:26 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:48:30 | Forged new block id: 12565390651986902676 height: 2510 round: 25 slot: 5828331 reward:100000000
[ERR] 2018-03-30 06:48:31 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:48:36 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:48:40 | Forged new block id: 9703706662581892267 height: 2511 round: 25 slot: 5828332 reward:100000000
[ERR] 2018-03-30 06:48:41 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:48:46 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:48:50 | Forged new block id: 1470030593269881420 height: 2512 round: 25 slot: 5828333 reward:100000000
[ERR] 2018-03-30 06:48:51 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:48:56 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:49:01 | Forged new block id: 4308665431796257167 height: 2513 round: 25 slot: 5828334 reward:100000000
[ERR] 2018-03-30 06:49:01 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:49:06 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:49:10 | Forged new block id: 6277274120685649958 height: 2514 round: 25 slot: 5828335 reward:100000000
[ERR] 2018-03-30 06:49:11 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:49:16 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:49:20 | Forged new block id: 8646051160848274441 height: 2515 round: 25 slot: 5828336 reward:100000000
[ERR] 2018-03-30 06:49:21 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:49:26 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:49:30 | Forged new block id: 11296405252269786806 height: 2516 round: 25 slot: 5828337 reward:100000000
[ERR] 2018-03-30 06:49:31 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:49:36 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:49:40 | Forged new block id: 1071534015525903768 height: 2517 round: 25 slot: 5828338 reward:100000000
[ERR] 2018-03-30 06:49:41 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:49:46 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:49:50 | Forged new block id: 11493345580932632791 height: 2518 round: 25 slot: 5828339 reward:100000000
[ERR] 2018-03-30 06:49:51 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:49:56 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:50:00 | Forged new block id: 12310165556876125491 height: 2519 round: 25 slot: 5828340 reward:100000000
[ERR] 2018-03-30 06:50:01 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:50:06 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:50:10 | Forged new block id: 14259397148874280687 height: 2520 round: 25 slot: 5828341 reward:100000000
[ERR] 2018-03-30 06:50:11 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:50:16 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:50:21 | Forged new block id: 13887084506397314139 height: 2521 round: 25 slot: 5828342 reward:100000000
[ERR] 2018-03-30 06:50:21 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:50:26 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:50:30 | Forged new block id: 1844721367999667659 height: 2522 round: 25 slot: 5828343 reward:100000000
[ERR] 2018-03-30 06:50:31 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:50:36 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:50:40 | Forged new block id: 17567967565858864930 height: 2523 round: 25 slot: 5828344 reward:100000000
[ERR] 2018-03-30 06:50:41 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:50:46 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:50:50 | Forged new block id: 12807201108808114800 height: 2524 round: 25 slot: 5828345 reward:100000000
[ERR] 2018-03-30 06:50:51 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:50:56 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:51:00 | Forged new block id: 688668835110752883 height: 2525 round: 25 slot: 5828346 reward:100000000
[ERR] 2018-03-30 06:51:01 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:51:06 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:51:11 | Forged new block id: 6460762742844147634 height: 2526 round: 26 slot: 5828347 reward:100000000
[ERR] 2018-03-30 06:51:11 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:51:16 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:51:20 | Forged new block id: 265997757448486362 height: 2527 round: 26 slot: 5828348 reward:100000000
