[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 33 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 34 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 35 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 36 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 37 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 38 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 39 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 40 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 41 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 42 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 43 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 44 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 45 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 46 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 47 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 48 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Finished extracting"
[ERR] 2018-02-13 05:50:56 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-02-13 05:51:01 | Forged new block id: 1533214647517712251 height: 59 round: 1 slot: 5439186 reward:100000000
[ERR] 2018-02-13 05:51:01 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-02-13 05:51:06 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-02-13 05:51:10 | Forged new block id: 13926309255148254872 height: 60 round: 1 slot: 5439187 reward:100000000
[ERR] 2018-02-13 05:51:11 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-02-13 05:51:16 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-02-13 05:51:19 | Application launched successfully
[ERR] 2018-02-13 05:51:20 | DApps#onNewBlock error: - "Application not ready"
[inf] 2018-02-13 05:51:20 | Forged new block id: 11188551773712433939 height: 61 round: 1 slot: 5439188 reward:100000000
[ERR] 2018-02-13 05:51:21 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-02-13 05:51:26 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-02-13 05:51:30 | Forged new block id: 12958887025182093602 height: 62 round: 1 slot: 5439189 reward:100000000
[ERR] 2018-02-13 05:51:31 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-02-13 05:51:36 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-02-13 05:51:40 | Forged new block id: 13239911506224204502 height: 63 round: 1 slot: 5439190 reward:100000000
[ERR] 2018-02-13 05:51:41 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-02-13 05:51:46 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-02-13 05:51:51 | Forged new block id: 13639597002621612870 height: 64 round: 1 slot: 5439191 reward:100000000
[ERR] 2018-02-13 05:51:51 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-02-13 05:51:56 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-02-13 05:52:00 | Forged new block id: 9469211763665252447 height: 65 round: 1 slot: 5439192 reward:100000000
[ERR] 2018-02-13 05:52:01 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-02-13 05:52:06 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-02-13 05:52:10 | Forged new block id: 18268015025624656250 height: 66 round: 1 slot: 5439193 reward:100000000
[ERR] 2018-02-13 05:52:11 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-02-13 05:52:16 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-02-13 05:52:20 | Forged new block id: 3857508512470389593 height: 67 round: 1 slot: 5439194 reward:100000000
[ERR] 2018-02-13 05:52:21 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-02-13 05:52:26 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-02-13 05:52:30 | Forged new block id: 5719035834638384519 height: 68 round: 1 slot: 5439195 reward:100000000
[ERR] 2018-02-13 05:52:31 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-02-13 05:52:36 | Discovering new peers failed - "No acceptable peers found"
